"root"	"root_in_comps"	"root_has_verb"	"root_group"	"root_sign"	"root_meaning"	"sanskrit_root"	"sanskrit_root_meaning"	"sanskrit_root_class"	"root_example"	"dhatupatha_num"	"dhatupatha_root"	"dhatupatha_pali"	"dhatupatha_english"	"dhatumanjusa_num"	"dhatumanjusa_root"	"dhatumanjusa_pali"	"dhatumanjusa_english"	"dhatumala_root"	"dhatumala_pali"	"dhatumala_english"	"panini_root"	"panini_sanskrit"	"panini_english"	"note"	"matrix_test"
"√lu"	""	"･"	"5"	"nā"	"cut, reap, mow"	"√lū"	"cut"	"5, 9"	"lunāti, lūyi, lavana, lāyaka"	"504"	"lu"	"chedane"	"cutting"	"728"	"lu"	"pacchede"	"cutting off"	"lū"	"chedane"	"cutting"	"lū ñ"	"chedane"	"cutting"	""	"√"
"√luj"	""	"･"	"3"	"ya"	"be broken apart"	"√ruj"	"break"	"6, 10"	"palujjati, lugga, paloka"	"400"	"luja"	"vināse"	"breaking apart, being destroyed"	"637"	"lujo"	"vināse"	"being destroyed, ruined"	"luja"	"vināse"	"destruction, ruin, loss"	"-"	"-"	"-"	"= √ruj"	"√"
"√luñc"	""	"･"	"1"	"a"	"pluck out, tear"	"√luñc"	"tear"	"1"	"luñcati, locaka"	"43"	"luñca"	"apanayane"	"carrying away"	"51"	"luñca"	"apanayane"	"removing"	"luñca"	"apanayane"	"removing"	"luñc a"	"apanayane"	"removing"	""	"√"
"√lup"	""	"･"	"2"	"ṃa"	"cut off, rob"	"√lup"	"break"	"6"	"lumpati, ālopa, lopa, nilopa, vilopaka"	"386"	"lupa"	"chedane"	"cutting"	"618"	"lupa"	"chede vināse"	"cutting and ruining"	"lupa"	"acchedane"	"cutting off"	"lup ḷ"	"chedane"	"cutting apart"	""	"√"
"√lubh 1"	""	"･"	"3"	"ya"	"be greedy"	"√lubh"	"be lustful"	"1, 4, 6"	"lubbhati, luddha"	"434"	"lubha"	"lobhe"	"being covetous"	"674"	"lubha"	"gedhe"	"being greedy"	"lubha"	"giddhiyaṃ"	"being greedy"	"lubh a"	"gārddhye"	"being greedy"	""	"√"
"√lubh 2"	""	"･"	"1"	"*a"	"fool, bewilder"	"√lubh"	"confound"	"1, 4, 6"	"palobhati"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"lubha"	"vimohane"	"delusion"	"lubh a"	"vimohane"	"deluding"	""	"√"
"√luḷ"	""	"･"	"1"	"a"	"agitate, be greedy"	"√lul √luḍ"	"be lively"	"1"	"loḷeti, loḷa"	"-"	"-"	"-"	"-"	"510"	"luḷa"	"manthane"	"churning, agitating"	"-"	"-"	"-"	"-"	"-"	"-"	"= √luṭ"	"√"
"√lok"	""	"･"	"8"	"e, aya"	"look"	"√lok"	"look"	"10"	"viloketi, ālokita, āloka"	"531"	"loka"	"dassane"	"seeing"	"744"	"loka"	"dassane"	"looking, seeing"	"loka"	"dassane"	"seeing"	"-"	"-"	"-"	""	"√"
"√loc"	""	"･"	"8"	"e, aya"	"see, illuminate"	"√loc"	"see, consider"	"1, 10"	"locita"	"532"	"loca"	"dassane"	"seeing"	"766"	"loca"	"dassane"	"seeing"	"loca"	"dassane"	"seeing"	"loc ṛ"	"darśane"	"seeing"	"related to √lok"	"√"
"√sak"	""	"･"	"4"	"ṇo, uṇā"	"be able, be powerful"	"√śak"	"be able"	"5"	"sakkuṇāti, sakkoti, asakkonta, sakka, sakkā"	"508"	"saka"	"sattiyaṃ"	"being able"	"708"	"saka"	"sattimhi"	"being able, having power"	"saka"	"sāmatthiye"	"being able"	"śak ḷ"	"śaktau"	"being able"	""	"√"
"√sakk"	""	"･"	"1"	"a"	"move"	"√ṣvaṣk √ṣvakk"	"go, move"	"1"	"osakkati, apasakkana, paccosakkanā"	"9"	"sakka"	"gamanatthā"	"going"	"15"	"sakka"	"gate"	"going"	"sakka"	"gatyatthe"	"going"	"ṣvaṣk a"	"gatyarthaḥ"	"going"	""	"√"
"√saṅk"	""	"･"	"1"	"a"	"doubt, suspect"	"√śaṅk"	"doubt"	"1"	"saṅkati, saṅkā"	"4"	"saṃka"	"saṃkāyaṃ"	"doubting"	"6"	"saki"	"saṃkāya"	"doubting"	"saki"	"saṅkāyaṃ"	"doubting"	"śak i"	"śaṅkāyāṃ"	"doubting"	""	"√"
"√saj 1"	""	"･"	"3"	"ya"	"stick, cling"	"√sañj √sajj"	"hang, cling"	"1"	"sajjati, visattikā, paṭinissagga, asajjamāna"	"397"	"sañja"	"saṅge"	"clinging"	"634"	"sañja"	"saṅge khalane"	"attachment and ?"	"saja"	"saṅge"	"clinging"	"ṣañj a"	"saṅge"	"clinging, sticking"	""	"√"
"√saj 2"	"ssaj"	"･"	"1"	"a"	"relinquish, let loose"	"√sṛj"	"send forth"	"1, 6"	"sajati"	"64a"	"saja"	"<b>vissajjan</b>-āliṅgana-nimmānesu"	"<b>sending off,</b> embracing and creating"	"-"	"-"	"-"	"-"	"saja"	"<b>vissagga</b>-parissajjana-abbhukkiraṇesu"	"relinquishing"	"sṛj a"	"visarge"	"letting go, abandoning"	"= √sajj"	"√"
"√saj 3"	"ssaj"	"･"	"1"	"a"	"embrace"	"√sañj √sajj"	"hang, cling"	"1"	"sajati, sajantaṃ"	"64a"	"saja"	"vissajjan-<b>āliṅgana</b>-nimmānesu"	"sending off, <b>embracing</b> and creating"	"-"	"-"	"-"	"-"	"saja"	"vissagga-<b>parissajjana</b>-abbhukkiraṇesu"	"embracing"	"sṛj a"	"visarge"	"letting go"	""	"√"
"√sajj 1"	"ssajj"	"･"	"1"	"a"	"relinquish, let loose"	"√sṛj"	"send forth"	"6"	"vissajjeti, vissajjaka"	"64a"	"saja"	"<b>vissajjan</b>-āliṅgana-nimmānesu"	"<b>sending off,</b> embracing and creating"	"82"	"sañja"	"āliṅgana-<b>visagga</b>-nimmāne"	"embracing, <b>forsaking</b> and measuring"	"saja"	"<b>vissagga</b>-parissajjana-abbhukkiraṇesu"	"<b>relinquishing</b>, <b>abandoning</b>, embracing and sprinkling"	"sṛj a"	"visarge"	"letting go"	"= √saj"	"√"
"√sajj 2"	""	"･"	"8"	"e, aya"	"prepare, decorate"	"√sṛj"	"send forth"	"6"	"sajjeti, sajjiya"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"sajja"	"sajjane"	"preparing"	"-"	"-"	"-"	""	"√"
"√sañj"	""	"･"	"1"	"a"	"clasp, embrace"	"√sañj √svañj"	"embrace"	"1"	"sañjati"	"64"	"sañja"	"vissajjan-<b>āliṅgana</b>-nimmānesu"	"sending off, <b>embracing</b> and creating"	"77"	"sañja"	"saṅge"	"clinging"	"sañja"	"parissage"	"embracing"	"svañj a"	"pariṣvaṅge"	"embracing"	"related to √saj"	"√"
"√saṭ"	""	"･"	"8"	"e, aya"	"split"	"√śaṭ"	"divide, pierce"	"1"	"sāṭetar"	"-"	"-"	"-"	"-"	"789"	"saṭo"	"visaraṇe"	"splitting open"	"saṭa"	"rujā-visaraṇagatyāvasānesu, visaraṇagatyavasāraṇesu (Smith)"	"paining, afflicting, oppressing (pīḷā), spreading, pervading (vippharaṇa) and end of going, standing (gatiyā avasānaṃ osānaṃ abhāvakaraṇaṃ)"	"śaṭ a"	"rujā-viśaraṇa-gatyavasādaneṣu"	"breaking, destroying, stopping"	""	"√"
"√saṭh"	""	"･"	"1"	"a"	"deceive"	"√śaṭh"	"deceive"	"1"	"saṭha, sāṭheyya"	"100"	"saṭha"	"ketave"	"deceiving"	"137"	"saṭha"	"ketave"	"deceiving, cheating"	"saṭḥa"	"ketave ca"	"deceiving, cheating"	"śaṭh a"	"hiṃsā-saṃkleśanayoḥ kaitave ca"	"hurting, afflicting and deceiving"	""	"√"
"√saṇ"	""	"･"	"1"	"a"	"make sound"	"√svan"	"sound"	"1"	"saṇati, saṇanta"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"saṇa"	"abyattasadde"	"inarticulate sound"	"svan a"	"śabde"	"making sound"	""	"√"
"√sad"	""	"･"	"1"	"a"	"sink, sit, settle"	"√sad"	"sit"	"1, 6"	"nisīdati, nisajja, nisinna, pāsāda"	"150"	"sada"	"visaraṇa-<b>gaty-avasādanesu</b>"	"pervading and <b>stopping going</b>"	"217"	"sado"	"visaraṇ-<b>ādānagamane ca avasādāne</b>"	"pervading,<b> stopping going and sitting</b>"	"sīda"	"visaraṇa-<b>gatyāvasānesu</b>"	"pervading and stopping going"	"śad ḷ"	"viśaraṇa-<b>gaty-avasādaneṣu</b>"	"scattering, <b>going sitting down</b>"	""	"√"
"√sadd"	""	"･"	"8"	"e, aya"	"sound"	"√śabd"	"sound"	"10"	"sadda, saddita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"sadda"	"saddane"	"making sound"	"śabd a"	"śabdakriyāyāṃ upasargād āviṣkāre ca"	"making sound, trouble and manifesting"	"artificial root, denominative of <b>sadda</b>"	"√"
"√san"	""	"×"	"1"	"a"	"like, love"	"√san"	"gain"	"1, 8"	"sāta"	"175"	"sana"	"sambhattiyaṃ"	"loving, being devoted"	"255"	"sana"	"sambhattiyaṃ"	"liking, devotion"	"sana"	"sambhattiyaṃ"	"serving"	"san a"	"saṃbhaktau"	"devotion, attachment"	"= √van"	"√"
"√sand"	"sand or ssand"	"･"	"1"	"a"	"flow"	"√syand"	"move on"	"1"	"sandati, parisandeti, nissanda 1"	"149"	"sanda"	"passavane"	"flowing"	"212"	"sandu"	"passavan-ādisu"	"flowing out etc"	"sanda"	"pasavane"	"flowing"	"syand ū"	"prasravaṇe"	"flowing, streaming"	""	"√"
"√sap"	""	"･"	"1"	"a"	"curse"	"√śap"	"curse"	"1"	"sapati, abhisapita"	"184"	"sapa"	"akkose"	"insulting, abusing"	"268"	"sapa"	"akkose"	"cursing"	"sapa"	"akkose"	"insulting, abusing"	"śap a"	"ākrośe"	"abusing"	""	"√"
"√sapp"	""	"･"	"1"	"a"	"crawl"	"√sṛp"	"creep"	"1"	"sappati, sappa"	"194"	"sappa"	"gamane"	"going"	"4"	"sappa"	"gatimhi"	"going"	"sappa"	"gatiyaṃ"	"going"	"sṛp ḷ"	"gatau"	"going"	"related to English 'serpent'?"	"√"
"√sam 1"	""	"･"	"3"	"ya"	"be calm, be tired"	"√śam"	"be quiet"	"4"	"sammati, paṭisāmeti, samaṇa, vūpasanta"	"436"	"sama"	"<b>upasama</b>-khedesu"	"<b>calmness</b> and fatigue"	"677"	"samu"	"<b>upasama</b>-khedesu"	"<b>calmness</b> and fatigue"	"samu"	"upasame"	"peace, calmness"	"śam u"	"upaśame"	"being calm or quiet"	""	"√"
"√sam 2"	"ssam"	"･"	"3"	"ya"	"exert, strive"	"√śram"	"be weary"	"1, 4"	"samaṇa"	"436"	"sama"	"upasama-<b>khedesu</b>"	"calmness and <b>fatigue</b>"	"677"	"samu"	"upasama-<b>khedesu</b>"	"calmness and <b>fatigue</b>"	"samu"	"khede nirodhe ca"	"fatigue and cessation"	"śram u"	"tapasi khede ca"	"austerity and cessation"	""	"√"
"√sambh 1"	"ssambh"	"･"	"1"	"a"	"be calm, be confident"	"√śrambh"	"trust"	"1"	"passambhati, passaddha, paṭippassaddhi"	"214"	"sambha"	"vissāse"	"trusting, confiding"	"307"	"sambha"	"vissāse"	"trusting"	"sambha"	"vissāse"	"trusting"	"śrambh u"	"viśvāse"	"trusting, being confident"	""	"√"
"√sambh 2"	""	"･"	"4"	"unā"	"reach, attain"	"-"	"-"	"-"	"abhisambhunāti"	"512"	"sambhu (5)"	"pāpuṇane"	"reaching, attaining"	"712"	"sambhu (4)"	"pāpuṇane"	"reaching, attaining"	"sambhu (4)"	"pāpuṇe"	"reaching"	"-"	"-"	"-"	""	"√"
"√sar 1"	""	"･"	"1"	"a"	"go, flow"	"√sṛ"	"flow"	"1, 3"	"anusarati, sara, saṃsāra"	"248"	"sara"	"<b>gati</b>-hiṃsa-cintāsu"	"<b>going</b>, hurting and thinking"	"348"	"sara"	"<b>gati</b>-cintā-hiṃsā-sadde"	"<b>going</b>, thinking, harming and making sound"	"sara"	"gatiyaṃ"	"going"	"sṛ"	"gatau"	"going"	""	"√"
"√sar 2"	"ssar"	"･"	"1"	"a"	"remember"	"√smṛ"	"remember"	"1"	"anussarati, vippaṭisāra"	"248"	"sara"	"gati-hiṃsa-<b>cintāsu</b>"	"going, hurting and <b>thinking</b>"	"348"	"sara"	"gati-<b>cintā</b>-hiṃsā-sadde"	"going, <b>thinking</b>, harming and making sound"	"sara"	"cintāyaṃ"	"reflecting"	"smṛ"	"cintāyaṃ"	"reflecting"	""	"√"
"√sar 3"	"sar or ssar"	"×"	"1"	"a"	"make sound"	"√svṛ √svar"	"sound"	"1"	"sara"	"-"	"-"	"-"	"-"	"348"	"sara"	"gati-cintā-hiṃsā-<b>sadde</b>"	"going, thinking, harming and <b>making sound</b>"	"sara"	"<b>saddo</b>-patāpesu"	"<b>making sound</b> and injuring"	"svṛ"	"<b>śabdo</b>-upatāpayoḥ"	"<b>making sound</b> and injuring"	""	"√"
"√sar 4"	"ssar"	"×"	"1"	"a"	"shine"	"√svar"	"shine"	"1"	"sagga"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√sar 5"	"ssar"	"×"	"1"	"a"	"hurt, injure"	"√sṝ √svṛ"	"hurt"	"9"	"sarabha, sara, sarita"	"248"	"sara"	"gati-<b>hiṃsa</b>-cintāsu"	"going, <b>hurting</b> and thinking"	"348"	"sara"	"gati-cintā-<b>hiṃsā</b>-sadde"	"going, thinking, <b>harming </b>and making sound"	"sara"	"saddo-<b>patāpesu</b>"	"making sound and <b>injuring</b>"	"svṛ"	"śabdo-<b>upatāpayoḥ</b>"	"making sound and <b>injuring</b>"	""	"√"
"√sas 1"	"ssas"	"･"	"1"	"a"	"breath"	"√śvas"	"blow"	"1, 2"	"passasati, samassāseti, assāso"	"301"	"sasa"	"gati-hiṃsā-<b>pāṇanesu</b>"	"going, hurting and <b>breathing</b>"	"435"	"sasu"	"<b>pāṇana</b>-gati-hiṃsādyatthe"	"<b>breathing</b>, going and hurting"	"sasa"	"pāṇane"	"breathing"	"śvas a"	"prāṇane"	"breathing"	""	"√"
"√sas 2"	""	"･"	"1"	"a"	"slaughter"	"√śas"	"cut"	"1, 2"	"sasati, sasattha, sattha"	"301"	"sasa"	"gati-<b>hiṃsā</b>-pāṇanesu"	"going, <b>hurting</b> and breathing"	"435"	"sasu"	"pāṇana-gati-<b>hiṃsādyatthe</b>"	"breathing, going and <b>hurting</b>"	"sasu"	"hiṃsāyaṃ"	"hurting"	"śas u"	"hiṃsāyām"	"hurting"	""	"√"
"√sah 1"	""	"･"	"1"	"a"	"overcome, prevail"	"√sah"	"prevail"	"1, 2, 4"	"sahati, visahati, saha"	"341"	"saha"	"marisane"	"enduring"	"494"	"saha"	"khame"	"enduring, bearing"	"saha"	"parisahane"	"enduring, being patient"	"ṣah a"	"marṣaṇe"	"enduring, forgiving"	""	"√"
"√sah 2"	""	"･"	"1"	"a"	"be able"	"√sah"	"prevail"	"1"	"visahati, visayha"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"saha 3"	"sattiyaṃ"	"being able"	"ṣah a"	"cakyarthe"	"?"	""	"√"
"√saṃs 1"	""	"･"	"1"	"a"	"proclaim, praise"	"√śaṃs √śaṅs"	"praise"	"1"	"pasaṃsati, pāsaṃsa"	"319"	"saṃsa"	"pasaṃsane"	"praising"	"459"	"saṃsa"	"pasaṃsane"	"praising"	"saṃsa"	"hiṃsāyaṃ <b>thutiyaṃ</b> ca"	"hurting & <b>praising</b>"	"śaṃs u"	"stutau, durgatau ity
"	"praising and faring badly"	""	"√"
"√saṃs 2"	""	"･"	"1"	"a"	"wish, desire"	"√śaṃs"	"praise"	"1"	"āsaṃsa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√sā"	""	"･"	"1"	"a"	"complete, accomplish"	"√so"	"destroy, kill, finish"	"4"	"pariyosāpeti, sāyaṃ, pariyosāna, susāna, vivasāna, vosita, vusita"	"-"	"-"	"-"	"-"	"602"	"sā"	"samattiyaṃ"	"accomplishing, completing"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√sād"	"ssād"	"･"	"8"	"e, aya"	"taste, relish"	"√svad"	"sweeten"	"1"	"assādeti, sādiyati, assāda"	"147"	"sāda 1"	"assādane"	"tasting, enjoying"	"221"	"sāda 1"	"assādanādīsu"	"tasting, enjoying, etc"	"sada 8"	"assādane"	"tasting, enjoying"	"ṣvad a
svād a"	"āsvādane ity eke"	"tasting, enjoying"	""	"√"
"√sādh"	""	"･"	"3"	"ya"	"accomplish"	"√sādh"	"succeed"	"1, 4, 5"	"sādhu, sādhukaṃ, sajjhu"	"421"	"sādha"	"saṃsiddhiyaṃ"	"succeeding"	"659"	"sādha"	"siddhiyaṃ"	"accomplishing, completing"	"sādha"	"saṃsiddhiyaṃ"	"succeeding"	"sādh a"	"saṃsiddhau"	"accomplishing"	""	"√"
"√sāy"	""	"･"	"1"	"a"	"taste"	"√svād √svad"	"sweeten"	"1"	"sāyati, sāyitvā"	"229"	"sāya 1"	"sāyane"	"tasting"	"343"	"sāya 1"	"sāyane"	"tasting"	"sā 3 ya"	"assādane"	"tasting"	"-"	"-"	"-"	""	"√"
"√sās"	""	"･"	"1"	"a"	"order, instruct"	"√śās"	"order"	"1, 2"	"sāsati, anusāsanī, satthu"	"300"	"sāsa"	"anusiṭṭhiyaṃ"	"instructing"	"456"	"sāsa"	"anusiṭṭhiyaṃ"	"teaching"	"sāsa"	"anusiṭṭhiyaṃ"	"instructing"	"śās u"	"anuśiṣṭau"	"teaching, instructing"	""	"√"
"√si 1"	"si or ssi"	"･"	"1"	"a"	"depend on, associate with"	"√śri √śṛ"	"resort"	"1"	"upasevati, upanisā, nissāya, nisevita, ussāpeti"	"289"	"si"	"sevāyaṃ"	"associating"	"485"	"si"	"sevane"	"associating"	"si"	"sevāyaṃ"	"associating"	"śri ñ"	"sevāyāṃ"	"serving"	""	"√"
"√si 2"	""	"･"	"5"	"nā"	"bind"	"√si"	"bind"	"5, 9"	"sināti, visineti, simā"	"505"	"si"	"bandhane"	"binding, tying"	"729"	"si"	"bandhane"	"binding"	"si"	"bandhane"	"binding"	"ṣi ñ"	"bandhane"	"binding, tying"	""	"√"
"√si 3"	""	"･"	"4"	"ṇu, ṇā"	"sharpen"	"√śi √śā"	"sharpen"	"5"	"nisita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"si"	"nisāne"	"sharpening"	"śi ñ"	"niśāne"	"sharpening"	""	"√"
"√si 4"	"ssi"	"×"	"1"	"a"	"smile"	"√smi"	"smile"	"1"	"sita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√sikkh"	""	"･"	"1"	"a"	"learn, train"	"√śikṣ"	"learn"	"1"	"sikkhati, sikkhā, sikkhāpeti"	"12"	"sikkha"	"vijjopādāne"	"learning"	"28"	"sikkho"	"vijjaggahe"	"learning"	"sikkha"	"vijjopādāne"	"learning"	"śikṣ a"	"vidyopādāne"	"acquiring learning"	""	"√"
"√siṅgh"	""	"･"	"1"	"a"	"sniff, smell"	"√śiṅgh"	"snuff"	"1"	"siṅghati"	"34"	"siṃgha"	"ghāyane"	"smelling, sniffing"	"40"	"sighi"	"āghāyane"	"smelling"	"sighi"	"āghāne"	"smelling"	"śighr i"	"āghrāṇe"	"smelling"	""	"√"
"√sic"	""	"･"	"2"	"ṃa"	"sprinkle, pour"	"√sic"	"pour out"	"6"	"siñcati, asecanaka, sitvā abhisecana"	"377"	"sica"	"kharaṇe / gharaṇe"	"trickling"	"611"	"sica"	"seke"	"sprinkling"	"sica"	"paggharaṇe"	"trickling, oozing, dripping"	"ṣic a"	"kṣaraṇe"	"flowing, trickling, distilling, dropping"	""	"√"
"√sit"	""	"×"	"1"	"a"	"be white"	"√śvit"	"be bright"	"1"	"sita, seta"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"sita"	"vaṇṇe"	"(white) colour"	"śvit ā"	"varṇe"	"colouring"	"artificial root, denominative of <b>asita</b>, from which <b>sita</b>"	"√"
"√sid 1"	""	"･"	"3"	"ya"	"sweat, steam"	"√svid"	"sweat"	"1, 4"	"sijjati, parisedeti"	"408"	"sida"	"pāke"	"cooking"	"645"	"sida"	"pāke"	"cooking"	"sida"	"mocane"	"setting free, releasing"	"ñi śvid ā"	"snehana-mocanayoḥ"	"affection and releasing"	"related to English 'sweat'"	"√"
"√sid 2"	""	"×"	"1"	"a"	"be cool"	"√śyai √śyā"	"congeal, freeze"	"1"	"sīta"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"sidi"	"sītiye"	"coolness"	"śvid i"	"śvaitye"	"whiteness"	""	"√"
"√sidh 1"	""	"･"	"1"	"a"	"prevent, prohibit"	"√sidh"	"repel"	"1"	"nisedha"	"170"	"sidha"	"gamane"	"going"	"243"	"sidhu"	"gatimhi"	"going"	"sidhu"	"gatiyaṃ"	"going"	"ṣidh a"	"gatyām"	"going"	""	"√"
"√sidh 2"	""	"･"	"3"	"ya"	"succeed, be accomplished"	"√sidh"	"succeed"	"4"	"siddhi"	"419"	"sidha"	"saṃsiddhiyaṃ"	"succeeding"	"658"	"sidha"	"siddhiyaṃ"	"accomplishing, completing"	"sidhu"	"saṃrādhane"	"accomplishing"	"ṣidh u"	"saṃrāddhau"	"accomplishing"	""	"√"
"√sinā"	""	"･"	"1"	"a"	"bathe"	"√snā"	"bathe"	"2, 4"	"sināti, sināta, sināna"	"426"	"sinā (3)"	"soceyye"	"cleaning"	"666"	"sina (3)"	"soce"	"being pure"	"-"	"-"	"-"	"-"	"-"	"-"	"= √nhā"	"√"
"√silāgh"	""	"･"	"1"	"a"	"boast"	"√ślāgh"	"extol"	"1"	""	"30"	"silāgha"	"katthane  / kathane"	"boasting, telling"	"37"	"silāgha"	"katthane"	"boasting"	"silāgha"	"katthane"	"praising (pasaṃsana)"	"ślāgh ṛ"	"katthane"	"boasting"	""	"√"
"√silis"	""	"×"	"3"	"ya"	"embrace, cling"	"√śliṣ"	"clasp"	"4"	"siliṭṭha, siliṭṭhatā"	"443"	"silisa"	"āliṅgane"	"embracing"	"685"	"silisa"	"aliṅganādisu"	"embracing etc"	"silisa"	"āliṅgane"	"embracing"	"śliṣ a"	"āliṅgane"	"clasping, embracing"	""	"√"
"√silok"	""	"×"	"1"	"a"	"be famous"	"√ślok"	"compose"	"1"	"siloka"	"8"	"siloka"	"saṃghāte"	"amassing"	"5"	"siloka"	"saṃghāte"	"accumulating"	"siloka"	"saṅghāte"	"accumulating, collecting"	"ślok ṛ"	"saṃghāte"	"accumulating"	"artificial root, denominative of <b>siloka</b>."	"√"
"√sis"	"ssis"	"･"	"8"	"e, aya"	"remain, distinguish"	"√śiṣ"	"leave"	"7, 10"	"seseti, sesa, avasesa, avasiṭṭha"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"sisa"	"asabbappayoge"	"not engaging with all"	"śiṣ a"	"asarvopayoge"	"not connecting with all"	""	"√"
"√siv 1"	""	"･"	"3"	"ya"	"sew"	"√siv √sīv"	"sew"	"4"	"sutta"	"390"	"siva"	"tantusantāne"	"weaving, sewing"	"623"	"sivu"	"tantūna santāne"	"threading a cord"	"sivu"	"tantasantāne"	"threading a cord"	"ṣiv u"	"tantusaṃtāne"	"threading"	"related to English 'sew'"	"√"
"√siv 2"	""	"･"	"3"	"ya"	"warm"	"√sriv"	"fail, dry"	"4"	"visibbana"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"sivu"	"gati-sosanesu"	"going and making dry"	"sriv u"	"gati-śoṣaṇayoḥ"	"going and drying"	""	"√"
"√siḷ"	""	"･"	"8"	"e, aya"	"whistle"	"-"	"-"	"-"	"seḷeti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"siḷa"	"seḷane"	"whistling"	"-"	"-"	"-"	""	"√"
"√siṃs"	""	"･"	"1"	"a"	"hope, wish"	"√śaṃs"	"praise"	"1"	"āsiṃsati"	"296"	"siṃsa"	"icchāyaṃ"	"wishing"	"463"	"siṃsa"	"icchāyaṃ"	"wishing"	"āsisi"	"icchāyaṃ"	"wishing, desiring"	"ā ṅ aḥ śasi"	"icchāyām"	"wishing, desiring"	""	"√"
"√sī"	""	"･"	"1"	"a"	"lie, sleep"	"√śī"	"lie"	"1, 2"	"seti, sayati, sena, sayana, anusaya"	"374"	"si"	"saye"	"sleeping"	"484"	"si"	"saye"	"sleeping, lying down"	"sī"	"saye"	"sleeping"	"śī ṅ"	"svapne"	"sleeping"	""	"√"
"√sīl"	""	"×"	"1"	"a"	"conduct oneself"	"√śīl"	"act, do"	"1"	"sīla, sīlana, sīlavantu"	"268"	"sīla"	"samādhimhi"	"joining together"	"383"	"sīla"	"samādhimhi"	"collecting oneself"	"sīla"	"samādhimhi"	"putting correctly, coordinating"	"śīl a"	"samādhau"	"putting together, joining, combining"	""	"√"
"√su 1"	"ssu"	"･"	"4"	"ṇu, ṇā"	"hear"	"√śru"	"hear"	"5"	"suṇāti, sota, suta, sāvaka, sāvetu"	"513"	"su"	"savane"	"hearing, flowing"	"707"	"su"	"savane"	"hearing"	"su"	"savane"	"hearing"	"śru"	"śravaṇe"	"hearing"	"the <i>su</i>’s are all mixed up!"	"√"
"√su 2"	"ssu"	"･"	"1"	"a"	"flow"	"√sru"	"flow"	"1"	"savati, sota, āsava, passāva"	"290"	"su"	"passavane"	"flowing"	"483"	"su"	"pasavane"	"flowing"	"su"	"savane"	"flowing"	"sru"	"gatau"	"going"	""	"√"
"√su 3"	""	"×"	"1"	"a"	"extract, distil"	"√su"	"press out, extract"	"5"	"surā"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√su 4"	""	"･"	"1"	"a"	"generate, beget"	"√sū"	"generate, enliven, impel"	"1, 2, 4, 5"	"sutā"	"291"	"su"	"pasave"	"producing"	"483"	"su"	"pasavane"	"producing, generating"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√sukh"	""	"･"	"1"	"a"	"please, be comfortable"	"√sukh"	"please"	"10"	"sukhī, sukha"	"-"	"-"	"-"	"-"	"752"	"sukha"	"takriye"	"doing that"	"sukha 1"	"takriyāyaṃ"	"being ‘that happiness’"	"sukh a"	"tatkriyāyām"	"doing that action"	""	"√"
"√suc 1"	""	"･"	"1"	"*a"	"grieve"	"√śuc"	"gleam"	"1"	"socati, suci, parisoka"	"39"	"suca"	"soke"	"grieving"	"45"	"suca"	"soke"	"grieving"	"suca"	"soke"	"grieving"	"śuc a"	"śoke"	"grieving, being sorrowful"	""	"√"
"√suc 2"	""	"×"	"1"	"a"	"be pure, be bright"	"√śuc"	"gleam"	"1"	"suci, soceyya"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√sudh"	""	"･"	"3"	"ya"	"be pure"	"√śudh"	"purify"	"4"	"parisujjhati, visuddha, sodhāpetvā"	"417"	"sudha"	"soceyye"	"cleaning"	"655"	"sudha"	"soce"	"being clean"	"sudha"	"soceyye"	"being clean"	"śudh a"	"śauce"	"being pure"	""	"√"
