id	lemma_1	meaning_1	meaning_1_corrected
80765	patiṭṭhāpetuṃ 2	to stands; to put weight (on)	to stand; to put weight
80773	āviñchana 3	pulling; tugging	(of a spirit) having taken possession
80782	āvisitvā	(of a spirit) having taken possession (of)	(of a spirit) having taken possession
80780	nivesitabba	should be established; should be settled (in)	should be established; should be settled
80783	lokattaya	three world; three planes of existence	three worlds; three planes of existence
80840	lokapūjita	revered by the world; world renowned	revered by the world; world-renowned
80947	ālapituṃ	to address; to talk; to speaks (to)	to address; to talk; to speak (to)
80951	abhisambujjhi 2	attained full awaking; achieved total enlightenment	attained full awakening; achieved total enlightenment
81037	kanditvā	having cried (over); having weeped (about); having wailed (over)	having cried (over); having wept (about); having wailed (over)
81287	anussāvetuṃ	to announce; to proclaim (somthing by)	to announce; to proclaim (something by)
81367	positabba	should be supported; should be taken care of; should be looked after (by)	should be supported; should be taken care of; should be looked after
82371	samūhanitvā 2	(of a rule) having repealed; having abolished	(of a rule) having been repealed; having been abolished
82764	mucchati 1	becomes infatuated (with); becomes fixated (on)	contacted (by); met (with); familiar (with)
82855	upaggaṇhāti	draws to oneself; brings near; takes possesion of	draws to oneself; brings near; takes possession of
83046	saupasagga 1	encountering danger; meeting with troublesome	encountering danger; meeting with trouble
83047	anupasagga 1	not encountering danger; not meeting with trouble	not encountering danger; not meeting trouble
83054	samudācarati 1.5	treats; acts towards; behaves towards (someone with)	treats; acts towards; behaves towards (someone)
83073	anikkhittadhura 2	not given up the cause	not abandoned the cause
83105	assāsetvā 2	having consoled; having comforted (someone with)	having consoled; having comforted (someone)
83118	pothenta	beating; hitting; striking (somebody with)	beating; hitting; striking (someone)
83147	ukkaṃ bandhati	prepares a forge; preps a furnace	prepares a forge; prepares a furnace
83186	paṭibaddhatta	fact of being bound; fact of being tied attached (by)	fact of being bound; fact of being tied (by)
83267	bahuvedanīyāpaṇṇakata	in refrence to MN59 Bahuvedanīyasutta and MN60 Apaṇṇakasutta	in reference to MN59 Bahuvedanīyasutta and MN60 Apaṇṇakasutta
83333	avijahantabhāvena	because of not wishing to leave; due to not wanting to depart; (comm) because of not wishing to abdondon (the topic)	because of not wishing to leave; due to not wanting to depart; (comm) because of not wishing to abandon (the topic)
83358	paññavant 2	in refrence to MN34 Cūḷagopālakasutta	in reference to MN34 Cūḇagopālakasutta
83816	pakāsanīya	which reaveals; making known	which reveals; making known
85273	paṭisanthāravuttī	with friendly reception; with kind welcome; with hospitality; with way of life	with friendly reception; with kind welcome; with hospitality; with a way of life
85298	aparajjha	transgession; wrongdoing; offence	transgression; wrongdoing; offence
85363	ganthika	bookish monk; who memorizes texts	bookish monk; who memorises texts
86926	cāreti 2	indulges; feasts (the senses in)	indulges; feasts on the senses
86928	cārenta 2	indulging; feasting (the senses in)	indulging; feasting on the senses
86146	pasādeti 3	wins over; appeases; gains the favour (of)	wins over; appeases; gains the favour of
88048	khandhāsaṃ	aggregates (are) their	aggregates (are) theirs
88055	cittānukūla	according to the wish; in accordance with the mind (of)	according to the wish; in accordance with the mind
88086	tenāyaṃ 2	becuase of that this	because of that this
88113	sambhuñjati 3	partakes; enagages; take on	partakes; engages; take on
88135	sujjhati 2	is pure; is clean (because of)	is pure; is clean
